Owner,Ticker,Asset Name,Transaction Type,Transaction Date,Amount
Joint,SPY,SPDR S&P 500,Purchase,10/31/2023,"$50,001 - $100,000"
Joint,SGIIX,First Eagle Global Fund Class I,Purchase,10/31/2023,"$1,001 - $15,000"
Joint,PONPX,Pimco Income Fund Class I-2,Purchase,10/31/2023,"$15,001 - $50,000"
Joint,PRHSX,T. Rowe Price Health Sciences Fund Inc.,Purchase,10/31/2023,"$1,001 - $15,000"
Joint,TSIIX,Thornburg Strategic Income Fund Class I Shs,Purchase,10/31/2023,"$50,001 - $100,000"
Joint,LLDYX,Lord Abbett Inv Tr. Short Duration Income Fd Cl,Sale (Full),10/31/2023,"$15,001 - $50,000"
Joint,FVD,First Trust VL Dividend,Sale (Full),10/31/2023,"$15,001 - $50,000"
Joint,HBLIX,Hartford Balanced Income Fund Class I,Sale (Partial),10/31/2023,"$1,001 - $15,000"
Joint,VO,Vanguard Mid-Cap ETF,Sale (Partial),10/31/2023,"$1,001 - $15,000"
Joint,VB,Vanguard Small-Cap ETF,Sale (Full),10/31/2023,"$15,001 - $50,000"
Joint,PRHSX,T. Rowe Price Health Sciences Fund Inc.,Purchase,12/18/2023,"$1,001 - $15,000"
Joint,QQQ,Invesco QQQ Trust; Series 1,Purchase,10/31/2023,"$1,001 - $15,000"
Self,PXSGX,Virtus Kar Small-Cap Growth Fund I,Purchase,12/21/2023,"$1,001 - $15,000"
Self,VWINX,Vanguard Wellesley Income Fund,Purchase,12/18/2023,"$1,001 - $15,000"
Self,PRHSX,T. Rowe Price Health Sciences Fund Inc.,Purchase,12/18/2023,"$1,001 - $15,000"
Self,SGIIX,First Eagle Global Fund Class I,Purchase,12/06/2023,"$1,001 - $15,000"
Self,PFBPX,Pimco International Bond Fund [U.S. Dollar-Hedge,Purchase,09/19/2023,"$15,001 - $50,000"
Self,QQQ,Invesco QQQ Trust; Series 1,Purchase,09/19/2023,"$1,001 - $15,000"
Self,PONPX,Pimco Income Fund Class I-2,Purchase,09/19/2023,"$1,001 - $15,000"
Self,MBB,iShares MBS ETF,Sale (Full),09/19/2023,"$15,001 - $50,000"
Spouse,FSNPX,Fidelity Freedom 2025 Fund Class K,Purchase,03/01/2023,"$1,001 - $15,000"
Spouse,FSNPX,Fidelity Freedom 2025 Fund Class K,Purchase,06/01/2023,"$1,001 - $15,000"
Spouse,FSNPX,Fidelity Freedom 2025 Fund Class K,Purchase,09/01/2023,"$1,001 - $15,000"
Spouse,FSNPX,Fidelity Freedom 2025 Fund Class K,Purchase,12/01/2023,"$1,001 - $15,000"
